iter	Passed	Remaining
0	1	168
1	2	144
2	4	134
3	5	124
4	6	129
5	8	131
6	9	127
7	10	124
8	12	125
9	13	123
10	15	122
11	16	121
12	17	118
13	18	116
14	20	115
15	22	115
16	23	115
17	25	114
18	26	112
19	27	110
20	29	109
21	30	108
22	32	108
23	33	106
24	34	104
25	36	104
26	38	103
27	39	102
28	41	101
29	43	101
30	44	100
31	46	98
32	47	96
33	49	95
34	50	93
35	52	92
36	53	91
37	55	89
38	56	88
39	57	86
40	59	85
41	59	82
42	61	81
43	62	79
44	63	78
45	65	76
46	67	75
47	68	74
48	70	73
49	71	71
50	72	69
51	74	68
52	75	66
53	76	65
54	77	63
55	79	62
56	80	61
57	82	59
58	84	58
59	85	57
60	87	55
61	88	54
62	90	53
63	91	51
64	93	50
65	95	48
66	96	47
67	98	46
68	99	44
69	100	43
70	102	41
71	103	40
72	105	38
73	106	37
74	107	35
75	109	34
76	110	33
77	112	31
78	114	30
79	115	28
80	116	27
81	117	25
82	119	24
83	120	22
84	122	21
85	123	20
86	125	18
87	127	17
88	129	15
89	131	14
90	132	13
91	134	11
92	135	10
93	136	8
94	137	7
95	139	5
96	140	4
97	142	2
98	144	1
99	145	0
