iter	Passed	Remaining
0	156	156222
1	158	79209
2	159	53117
3	160	40034
4	161	32202
5	163	27007
6	164	23272
7	165	20473
8	166	18292
9	170	16842
10	172	15468
11	173	14265
12	174	13271
13	175	12386
14	177	11624
15	178	10951
16	179	10366
17	180	9843
18	197	10220
19	199	9783
20	201	9377
21	202	8996
22	203	8644
23	204	8317
24	205	8017
25	206	7739
26	207	7477
27	208	7235
28	209	7026
29	213	6918
30	215	6741
31	216	6555
32	217	6384
33	218	6220
34	219	6065
35	220	5917
36	221	5776
37	223	5649
38	224	5524
39	225	5408
40	228	5341
41	229	5235
42	230	5138
43	231	5039
44	233	4945
45	234	4856
46	235	4772
47	236	4690
48	237	4610
49	238	4535
50	241	4486
51	242	4426
52	244	4360
53	245	4294
54	246	4229
55	247	4164
56	248	4106
57	249	4050
58	250	3998
59	251	3944
60	257	3962
61	258	3915
62	260	3869
63	261	3821
64	262	3775
65	264	3736
66	265	3698
67	271	3720
68	272	3683
69	275	3662
70	277	3630
71	278	3595
72	280	3557
73	281	3519
74	283	3492
75	284	3457
76	285	3425
77	287	3396
78	289	3369
79	290	3335
80	291	3302
81	292	3272
82	292	3235
83	295	3217
84	298	3217
85	301	3199
86	304	3197
87	306	3172
88	307	3143
89	308	3116
90	310	3099
91	315	3110
92	323	3156
93	324	3131
94	331	3154
95	333	3144
96	335	3122
97	336	3098
98	338	3081
99	339	3059
100	343	3058
101	349	3075
102	351	3061
103	353	3049
104	359	3067
105	362	3059
106	364	3045
107	367	3031
108	368	3012
109	371	3002
110	373	2989
111	375	2973
112	376	2953
113	379	2951
114	381	2933
115	382	2912
116	383	2893
117	386	2890
118	389	2882
119	395	2900
120	396	2883
121	397	2863
122	403	2876
123	408	2886
124	412	2886
125	413	2871
126	416	2860
127	420	2861
128	421	2846
129	423	2835
130	425	2819
131	427	2809
132	428	2792
133	437	2826
134	440	2820
135	441	2804
136	443	2790
137	451	2822
138	455	2819
139	456	2804
140	457	2787
141	458	2768
142	459	2755
143	465	2764
144	469	2769
145	471	2755
146	472	2740
147	473	2725
148	474	2710
149	480	2720
150	486	2734
151	487	2721
152	489	2707
153	491	2698
154	493	2692
155	496	2684
156	498	2675
157	499	2663
158	501	2652
159	502	2638
160	503	2622
161	505	2616
162	508	2611
163	509	2599
164	511	2587
165	512	2574
166	513	2563
167	515	2551
168	516	2538
169	519	2538
170	523	2537
171	526	2533
172	527	2522
173	529	2511
174	530	2499
175	534	2501
176	536	2496
177	539	2489
178	541	2482
179	542	2471
180	543	2461
181	546	2458
182	549	2452
183	552	2450
184	553	2440
185	554	2428
186	555	2416
187	557	2407
188	561	2410
189	564	2407
190	567	2405
191	569	2397
192	570	2386
193	572	2379
194	578	2388
195	580	2381
196	581	2370
197	583	2362
198	584	2352
199	586	2344
200	588	2338
201	590	2334
202	596	2340
203	599	2338
204	603	2339
205	610	2353
206	612	2347
207	615	2342
208	625	2368
209	627	2361
210	631	2363
211	636	2365
212	639	2363
213	643	2362
214	648	2369
215	656	2384
216	665	2401
217	668	2397
218	670	2392
219	671	2382
220	673	2373
221	676	2372
222	679	2366
223	681	2359
224	682	2351
225	683	2341
226	684	2331
227	685	2322
228	687	2313
229	691	2313
230	694	2312
231	696	2306
232	697	2297
233	698	2288
234	701	2283
235	702	2275
236	705	2271
237	708	2267
238	709	2259
239	710	2250
240	712	2242
241	713	2235
242	715	2227
243	717	2222
244	725	2237
245	727	2229
246	729	2222
247	730	2216
248	734	2214
249	736	2208
250	739	2207
251	741	2200
252	742	2191
253	743	2183
254	744	2174
255	745	2166
256	748	2163
257	750	2157
258	751	2150
259	753	2144
260	754	2136
261	755	2129
262	757	2122
263	760	2118
264	763	2117
265	767	2118
266	769	2112
267	772	2110
268	776	2110
269	779	2106
270	784	2109
271	787	2107
272	797	2123
273	801	2123
274	802	2116
275	807	2117
276	809	2112
277	811	2106
278	812	2099
279	814	2094
280	817	2091
281	825	2101
282	828	2097
283	829	2091
284	831	2086
285	832	2078
286	838	2084
287	842	2082
288	844	2076
289	845	2070
290	847	2064
291	853	2069
292	855	2063
293	856	2057
294	858	2051
295	859	2043
296	860	2036
297	861	2028
298	862	2021
299	864	2016
300	866	2012
301	871	2014
302	872	2007
303	874	2001
304	875	1994
305	876	1988
306	877	1981
307	880	1978
308	882	1973
309	886	1972
310	887	1966
311	888	1959
312	890	1955
313	891	1948
314	893	1942
315	897	1942
316	901	1942
317	903	1938
318	904	1931
319	906	1925
320	907	1919
321	917	1932
322	919	1928
323	921	1921
324	922	1915
325	926	1915
326	929	1912
327	930	1907
328	933	1904
329	934	1898
330	936	1892
331	942	1896
332	946	1895
333	947	1889
334	949	1884
335	951	1880
336	957	1882
337	958	1877
338	962	1876
339	963	1871
340	965	1865
341	966	1859
342	971	1860
343	974	1858
344	977	1856
345	979	1851
346	981	1846
347	984	1845
348	989	1845
349	991	1840
350	992	1836
351	996	1833
352	999	1831
353	1002	1829
354	1004	1825
355	1005	1819
356	1007	1813
357	1008	1809
358	1010	1803
359	1021	1815
360	1024	1813
361	1026	1808
362	1035	1817
363	1038	1814
364	1039	1809
365	1041	1803
366	1050	1812
367	1054	1810
368	1056	1805
369	1057	1801
370	1066	1808
371	1069	1805
372	1071	1801
373	1076	1801
374	1079	1798
375	1080	1793
376	1083	1789
377	1084	1785
378	1091	1787
379	1093	1784
380	1095	1779
381	1096	1774
382	1097	1768
383	1099	1764
384	1104	1763
385	1105	1759
386	1107	1754
387	1109	1749
388	1110	1744
389	1114	1743
390	1123	1750
391	1125	1745
392	1126	1740
393	1128	1735
394	1130	1731
395	1134	1730
396	1139	1730
397	1140	1725
398	1142	1720
399	1143	1714
400	1144	1709
401	1145	1704
402	1153	1709
403	1155	1704
404	1156	1699
405	1158	1694
406	1159	1689
407	1161	1685
408	1165	1684
409	1167	1680
410	1168	1674
411	1169	1669
412	1172	1667
413	1178	1668
414	1181	1665
415	1182	1660
416	1183	1655
417	1188	1654
418	1190	1650
419	1192	1646
420	1194	1642
421	1195	1638
422	1197	1633
423	1198	1628
424	1199	1623
425	1203	1621
426	1206	1619
427	1208	1615
428	1210	1610
429	1211	1605
430	1212	1601
431	1214	1596
432	1221	1599
433	1223	1596
434	1225	1591
435	1226	1586
436	1227	1581
437	1229	1577
438	1231	1573
439	1238	1576
440	1239	1571
441	1241	1567
442	1242	1562
443	1244	1558
444	1250	1560
445	1253	1557
446	1254	1552
447	1256	1547
448	1257	1542
449	1258	1538
450	1261	1535
451	1267	1536
452	1268	1532
453	1271	1529
454	1273	1525
455	1278	1524
456	1281	1522
457	1284	1519
